test_length,train_samples,baseline_acc,baseline_perfect,baseline_kendall,poh_acc,poh_perfect,poh_kendall
12,200,0.9916666666666667,0.98,0.989030303030303,0.994,0.99,0.9932727272727273
12,500,0.9996666666666667,0.998,0.9994545454545455,0.9996666666666667,0.998,0.9996969696969698
12,1000,1.0,1.0,1.0,0.9995,0.998,0.9992727272727272
12,2000,0.9996666666666667,0.998,0.9993333333333334,1.0,1.0,1.0
12,5000,0.9993333333333333,0.996,0.9997575757575757,1.0,1.0,1.0
20,200,0.9839,0.966,0.9814526315789474,0.9972,0.976,0.9964842105263158
20,500,1.0,1.0,1.0,0.9992,0.992,0.9992000000000001
20,1000,1.0,1.0,1.0,0.9994,0.994,0.9989263157894737
20,2000,1.0,1.0,1.0,1.0,1.0,1.0
20,5000,1.0,1.0,1.0,1.0,1.0,1.0
